Date,Symbols,Close,High,Low,Open,Volume
2020-09-28,BNTX,65.8683,67.156,65.0957,66.3537,1766786.7786355
2020-09-28,MRNA,70.55,71.5,69.1,69.59,7337397.0
2020-09-25,AMZN,154.757,155.077,149.95,152.743,92304040.0
2020-09-25,GOOGL,71.953,72.297,70.384,71.2525,30333540.0
2020-09-25,META,254.82,255.75,246.61,249.4,18351311.0
2020-09-25,PFE,33.2599,33.3517,32.771,32.7886,14773256.779515
2020-09-25,BNTX,66.0565,66.2359,60.688,60.688,1686506.1900977
2020-09-25,MRNA,69.47,69.73,65.67,65.8865,9190629.0
2020-09-24,AMZN,150.99,153.465,148.25,148.89,110587840.0
2020-09-24,GOOGL,71.143,71.8995,70.1075,70.134,34552220.0
2020-09-24,META,249.53,252.24,245.62,246.5,20006750.0
2020-09-24,PFE,32.9915,33.2502,32.7886,33.1672,21451787.569723
2020-09-24,BNTX,62.2332,63.3227,58.2514,62.0252,2890887.6580785
2020-09-24,MRNA,65.17,66.77,63.64,65.5,5565191.0
2020-09-23,AMZN,149.993,156.35,149.619,156.022,113053300.0
2020-09-23,GOOGL,70.4695,72.654,70.134,72.6045,37725980.0
2020-09-23,META,249.02,257.9921,248.15,255.26,19641266.0
2020-09-23,PFE,33.2141,33.5615,33.1799,33.5273,23758045.032923
2020-09-23,BNTX,63.2237,66.6409,63.0811,66.6112,1694091.2407993
2020-09-23,MRNA,67.16,68.62,65.77,67.865,6919352.0
2020-09-22,AMZN,156.45,156.7,150.01,151.692,138976320.0
2020-09-22,GOOGL,72.991,73.1985,71.4748,72.516,33950840.0
2020-09-22,META,254.75,255.32,248.22,253.31,30293103.0
2020-09-22,PFE,33.4445,33.5176,32.9731,33.0384,23372150.546801
2020-09-22,BNTX,66.4131,67.1137,63.0058,64.759,1587362.4194346
2020-09-22,MRNA,68.72,69.19,66.67,67.5,6303612.0
2020-09-21,AMZN,148.023,148.1,143.55,145.325,122358500.0
2020-09-21,GOOGL,71.507,72.003,70.134,71.581,56908100.0
2020-09-21,META,248.15,249.95,244.13,247.54,24709378.0
2020-09-21,PFE,33.2317,33.6561,32.6364,33.5557,27363961.245186
2020-09-21,BNTX,65.4919,65.5712,61.7082,64.9372,2139055.9787326
2020-09-21,MRNA,69.26,69.48,65.46,68.6,8223034.0
2020-09-18,AMZN,147.746,151.89,145.277,151.587,177851600.0
2020-09-18,GOOGL,72.5545,74.76,71.581,74.415,63055760.0
2020-09-18,META,252.53,259.2,250.05,258.405,28130767.0
2020-09-18,PFE,33.7948,34.2007,33.7391,33.9333,32593999.77601
2020-09-18,BNTX,66.3636,67.7899,64.5509,67.364,2633899.5173992
2020-09-18,MRNA,69.87,70.0,66.1,68.28,13206193.0
2020-09-17,AMZN,150.436,151.472,148.628,150.462,128981000.0
